"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4436","cy.wait() - wait for a specific amount of time","","2026-03-11","passed","2026-03-11","","Waiting","",""
"","159",".trigger() - trigger an event on a DOM element","","2026-03-11","passed","2026-03-11","","Actions","",""
"","95","cy.setCookie() - set a browser cookie","","2026-03-11","passed","2026-03-11","","Cookies","",""
"","84","Get CPU architecture name of underlying OS","Cypress APIs","2026-03-11","passed","2026-03-11","","Cypress.arch","",""
"","93","cy.root() - query the root DOM element","","2026-03-11","passed","2026-03-11","","Querying","",""
"","92",".prev() - get previous sibling DOM element","","2026-03-11","passed","2026-03-11","","Traversal","",""
"","244",".children() - get child DOM elements","","2026-03-11","passed","2026-03-11","","Traversal","",""
"","612","best practices - selecting elements","","2026-03-11","passed","2026-03-11","","Querying","",""
"","787",".check() - check a checkbox or radio element","","2026-03-11","passed","2026-03-11","","Actions","",""
"","161","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins","","2026-03-11","passed","2026-03-11","","Local Storage / Session Storage","",""
"","180",".scrollIntoView() - scroll an element into view","","2026-03-11","passed","2026-03-11","","Actions","",""
"","1089","Cypress.Promise - instantiate a bluebird promise","","2026-03-11","passed","2026-03-11","","Utilities","",""
"","3083","cy.viewport() - set the viewport size and dimension","","2026-03-11","passed","2026-03-11","","Viewport","",""
"","178","cy.clearCookie() - clear a browser cookie","","2026-03-11","passed","2026-03-11","","Cookies","",""
"","73","Get environment variables","Cypress APIs","2026-03-11","passed","2026-03-11","","Cypress.env()","",""
"","256","can delete all completed tasks","example to-do app","2026-03-11","passed","2026-03-11","","with a checked task","",""
"","85",".isHidden() - determine if a DOM element is hidden","Cypress APIs","2026-03-11","passed","2026-03-11","","Cypress.dom","",""
"","882",".select() - select an option in a <select> element","","2026-03-11","passed","2026-03-11","","Actions","",""
"","117","expect - make an assertion about a specified subject","Assertions","2026-03-11","passed","2026-03-11","","Explicit Assertions","",""
"","119",".closest() - get closest ancestor DOM element","","2026-03-11","passed","2026-03-11","","Traversal","",""
"","95",".within() - query DOM elements within a specific element","","2026-03-11","passed","2026-03-11","","Querying","",""
"","411",".submit() - submit a form","","2026-03-11","passed","2026-03-11","","Actions","",""
"","88",".next() - get next sibling DOM element","","2026-03-11","passed","2026-03-11","","Traversal","",""
"","91",".invoke() - invoke a function on the current subject","","2026-03-11","passed","2026-03-11","","Connectors","",""
"","123","cy.wrap() - wrap an object","","2026-03-11","passed","2026-03-11","","Misc","",""
"","818","cy.go() - go back or forward in the browser's history","","2026-03-11","passed","2026-03-11","","Navigation","",""
"","173","cy.getAllSessionStorage() - get all data in sessionStorage for all origins","","2026-03-11","passed","2026-03-11","","Local Storage / Session Storage","",""
"","1594","retries the should callback until assertions pass","Assertions","2026-03-11","passed","2026-03-11","","Explicit Assertions","",""
"","396","cy.intercept() - route responses to matching requests","","2026-03-11","passed","2026-03-11","","Network Requests","",""
"","162",".parents() - get parent DOM elements from DOM elements","","2026-03-11","passed","2026-03-11","","Traversal","",""
"","175",".parent() - get parent DOM element from DOM elements","","2026-03-11","passed","2026-03-11","","Traversal","",""
"","242","cy.window() - get the global window object","","2026-03-11","passed","2026-03-11","","Window","",""
"","85","cy.fixture() or require - load a fixture","","2026-03-11","passed","2026-03-11","","Files","",""
"","266","can filter for completed tasks","example to-do app","2026-03-11","passed","2026-03-11","","with a checked task","",""
"","235","cy.hash() - get the current URL hash","","2026-03-11","passed","2026-03-11","","Location","",""
"","111","assert - assert shape of an object","Assertions","2026-03-11","passed","2026-03-11","","Explicit Assertions","",""
"","30","matches call arguments using Sinon matchers","","2026-03-11","passed","2026-03-11","","Spies, Stubs, and Clock","",""
"","274",".not() - remove DOM elements from set of DOM elements","","2026-03-11","passed","2026-03-11","","Traversal","",""
"","119","cy.getAllCookies() - get all browser cookies","","2026-03-11","passed","2026-03-11","","Cookies","",""
"","113",".eq() - get a DOM element at a specific index","","2026-03-11","passed","2026-03-11","","Traversal","",""
"","124","matches unknown text between two elements","Assertions","2026-03-11","passed","2026-03-11","","Explicit Assertions","",""
"","104","cy.readFile() - read file contents","","2026-03-11","passed","2026-03-11","","Files","",""
"","94",".prevAll() - get all previous sibling DOM elements","","2026-03-11","passed","2026-03-11","","Traversal","",""
"","87","yields the value yielded by the last Cypress command inside","Connectors","2026-03-11","passed","2026-03-11","",".then()","",""
"","865",".as() - alias a DOM element for later use","","2026-03-11","passed","2026-03-11","","Aliasing","",""
"","237","cy.request() - save response in the shared test context","","2026-03-11","passed","2026-03-11","","Network Requests","",""
"","181","cy.getAllLocalStorage() - get all data in localStorage for all origins","","2026-03-11","passed","2026-03-11","","Local Storage / Session Storage","",""
"","272",".should() - make an assertion about the current subject","Assertions","2026-03-11","passed","2026-03-11","","Implicit Assertions","",""
"","90","yields the returned value to the next command","Connectors","2026-03-11","passed","2026-03-11","",".then()","",""
"","270","Cypress._ - call a lodash method","","2026-03-11","passed","2026-03-11","","Utilities","",""
"","97",".its() - get properties on the current subject","","2026-03-11","passed","2026-03-11","","Connectors","",""
"","186","cy.clock() - control time in the browser","","2026-03-11","passed","2026-03-11","","Spies, Stubs, and Clock","",""
"","211",".rightclick() - right click on a DOM element","","2026-03-11","passed","2026-03-11","","Actions","",""
"","134",".focus() - focus on a DOM element","","2026-03-11","passed","2026-03-11","","Actions","",""
"","265","cy.getCookie() - get a browser cookie","","2026-03-11","passed","2026-03-11","","Cookies","",""
"","340","cy.visit() - visit a remote url","","2026-03-11","passed","2026-03-11","","Navigation","",""
"","793",".uncheck() - uncheck a checkbox element","","2026-03-11","passed","2026-03-11","","Actions","",""
"","114",".last() - get last DOM element","","2026-03-11","passed","2026-03-11","","Traversal","",""
"","398","cy.request() - make an XHR request","","2026-03-11","passed","2026-03-11","","Network Requests","",""
"","394","can add new todo items","","2026-03-11","passed","2026-03-11","","example to-do app","",""
"","124","finds element by class name regex","Assertions","2026-03-11","passed","2026-03-11","","Explicit Assertions","",""
"","351","displays two todo items by default","","2026-03-11","passed","2026-03-11","","example to-do app","",""
"","488",".clear() - clears an input or textarea element","","2026-03-11","passed","2026-03-11","","Actions","",""
"","1951",".click() - click on a DOM element","","2026-03-11","passed","2026-03-11","","Actions","",""
"","225","cy.wait() - wait for a specific route","","2026-03-11","passed","2026-03-11","","Waiting","",""
"","99","cy.title() - get the title","","2026-03-11","passed","2026-03-11","","Window","",""
"","92",".nextAll() - get all next sibling DOM elements","","2026-03-11","passed","2026-03-11","","Traversal","",""
"","110",".nextUntil() - get next sibling DOM elements until next el","","2026-03-11","passed","2026-03-11","","Traversal","",""
"","94","Get current spec information","Cypress APIs","2026-03-11","passed","2026-03-11","","Cypress.spec","",""
"","477","cy.clearLocalStorage() - clear all data in localStorage for the current origin","","2026-03-11","passed","2026-03-11","","Local Storage / Session Storage","",""
"","159","cy.request() with query parameters","","2026-03-11","passed","2026-03-11","","Network Requests","",""
"","102",".prevUntil() - get all previous sibling DOM elements until el","","2026-03-11","passed","2026-03-11","","Traversal","",""
"","133","cy.stub() - create a stub and/or replace a function with stub","","2026-03-11","passed","2026-03-11","","Spies, Stubs, and Clock","",""
"","71","Get underlying OS name","Cypress APIs","2026-03-11","passed","2026-03-11","","Cypress.platform","",""
"","119",".parentsUntil() - get parent DOM elements from DOM elements until el","","2026-03-11","passed","2026-03-11","","Traversal","",""
"","114",".first() - get first DOM element","","2026-03-11","passed","2026-03-11","","Traversal","",""
"","100","cy.document() - get the document object","","2026-03-11","passed","2026-03-11","","Window","",""
"","141","cy.contains() - query DOM elements with matching content","","2026-03-11","passed","2026-03-11","","Querying","",""
"","103",".debug() - enable or disable debugging","Cypress APIs","2026-03-11","passed","2026-03-11","","Cypress.Cookies","",""
"","165","cy.writeFile() - write to a file","","2026-03-11","passed","2026-03-11","","Files","",""
"","97","can throw any error","Assertions","2026-03-11","passed","2026-03-11","","Explicit Assertions","",""
"","278","Cypress.Blob - blob utilities and base64 string conversion","","2026-03-11","passed","2026-03-11","","Utilities","",""
"","115",".find() - get descendant DOM elements of the selector","","2026-03-11","passed","2026-03-11","","Traversal","",""
"","392","cy.reload() - reload the page","","2026-03-11","passed","2026-03-11","","Navigation","",""
"","2526","cy.spy() retries until assertions pass","","2026-03-11","passed","2026-03-11","","Spies, Stubs, and Clock","",""
"","273","cy.tick() - move time in the browser","","2026-03-11","passed","2026-03-11","","Spies, Stubs, and Clock","",""
"","181","can check off an item as completed","","2026-03-11","passed","2026-03-11","","example to-do app","",""
"","180","cy.spy() - wrap a method in a spy","","2026-03-11","passed","2026-03-11","","Spies, Stubs, and Clock","",""
"","104","Cypress.Screenshot.defaults() - change default config of screenshots","Misc","2026-03-11","passed","2026-03-11","","Cypress.Screenshot","",""
"","94","Get and set configuration options","Cypress APIs","2026-03-11","passed","2026-03-11","","Cypress.config()","",""
